title,genre,actors,view rating,release date,summary,score,votes,
La Palma,"Comedy, Drama, Romance","Dani Alvarez, Daniel Sträßer, Jesper Ankarfeldt, Marleen Lohse",,04 Jun 2020,"After arriving at the wrong destination, a couple gets creative to salvage their vacation—but holes in their fraught relationship are soon exposed.",7.6,49,
Fuga,"Drama, Music, Thriller","Gastón Pauls, Benjamín Vicuña, Francisca Imboden, María Izquierdo",,27 Mar 2006,"A struggling music student discovers and tries to complete an unfinished symphony begun by a famous composer, whose career was ended by a past trauma.",6.2,932,
Geez & Ann,Animation,"Angela Adams, J. Adams",,22 Jun 2012,"After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache and deception as their romance struggles.",8,40,
Capone,"Biography, Crime, Drama","Linda Cardellini, Tom Hardy, Matt Dillon, Al Sapienza",R,12 May 2020,"For years, he ruled Chicago during Prohibition. Now, the aging king of the criminal underworld is out of prison and haunted by his violent past.",4.7,14436,
Vaterland: A Hunting Logbook,Thriller,"Vasil Fridrich, Karel Roden, Frantisek Rehák, Petr Forman",,19 Aug 2004,"Returning to their ancestral lands, descendants of a formerly aristocratic family hunt for mythical creatures that occupy the nearby wilderness.",6.3,135,
The Last Bastion,"Drama, History, War","Ron Blanchard, Colin McEwan, Bill Hunter, Phil Perman",,06 Nov 1984,"The Robles family, born and raised in the Americas, experiences the highs and lows of the revolutionary drive to Perus independence.",8.5,60,
Princess Principal,"Animation, Action, Adventure, Drama, Sci-Fi","Akari Kageyama, Akira Sekine, Ayaka Imamura, You Taichi",TV-MA,09 Jul 2017,"Working as spies, five elite schoolgirls navigate a world of espionage and risk in a 19th century London divided by a massive wall.",7.3,321,
Above Suspicion,"Action, Biography, Crime, Thriller","Jack Huston, Emilia Clarke, Sophie Lowe, Johnny Knoxville",R,13 Nov 2020,The relationship between a drug-dealing informant and an FBI agent spirals out of control in small-town Kentucky. Based on a true story.,5.5,2496,
A Call to Spy,"Biography, Crime, Drama, Thriller, War","Sarah Megan Thomas, Radhika Apte, Linus Roache, Stana Katic",PG-13,02 Oct 2020,"After France falls to the Nazis, two women seek to support the war effort by spying for a secret agency under Churchill. Based on a true story.",6.3,1684,
Red,"Action, Comedy, Crime, Thriller","Bruce Willis, Jefferson Brown, Mary-Louise Parker, Heidi von Palleske",PG-13,15 Oct 2010,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky.",7,290548,
Made You Look: A True Story About Fake Art,Documentary,"Jack Flam, José Carlos Bergantiños Díaz, Patty Cohen, Domenico De Sole",,23 Feb 2021,"A woman walks into a New York gallery with a cache of unknown masterworks. Thus begins a story of art world greed, willfulness and a high-stakes con.",7,214,
