title,genre,actors,view rating,release date,summary,score,votes,
Il signor Diavolo,"Horror, Mystery, Thriller","Gabriel Lo Giudice, Cesare Cremonini, Filippo Franchini, Massimo Bonetti",,22 Aug 2019,A young official is sent to Veneto region to investigate a shocking and mysterious case: a minor claims to have killed the devil himself.,6,1002,
Chihayafuru,"Animation, Comedy, Drama","Asami Seto, Ai Kayano, Mamoru Miyano, Tôru Nara",TV-14,05 Oct 2011,"With guts and determination, high school student Chihaya works towards her childhood dream of becoming the top-ranked female karuta player in Japan.",8.2,965,
Classmates Minus,"Comedy, Drama","Na-Dou Lin, Ming-Shuai Shih, Jen-Shuo Cheng, Kuan-Ting Liu",,20 Feb 2021,"Four school buddies — a director, a temp worker, an insurance salesman and a paper craftsman — grapple with unfulfilled dreams amid middle age ennui.",7.4,494,
Oh My JUMP!,Drama,"Rina Ikoma, Toru Baba, Atsushi Itô, Kendô Kobayashi",,13 Jan 2018,A timid salesman is introduced to a secret club where cosplaying Weekly Shonen Jump superfans awaken their inner-heroes to overcome life’s challenges.,8.4,5,
The Mole Agent,Documentary,"Romulo Aitken, Sergio Chamy, Zoila Gonzalez, Petronila Abarca",Not Rated,01 Sep 2020,A widower in his 80s is hired by a private investigator to infiltrate a nursing home and find out if its caretakers are committing elder abuse.,7.6,839,
The Loop,Comedy,"Eric Christian Olsen, Philip Baker Hall, Mimi Rogers, Bret Harrison",,,"As a second-generation cop attempts to rise through the ranks, he gets catapulted into an underworld of vices, violence, corruption and betrayal.",7.3,1881,
I Care a Lot,"Comedy, Crime, Thriller","Eiza González, Peter Dinklage, Dianne Wiest, Rosamund Pike",R,19 Feb 2021,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,6.6,201,
No Escape Room,"Horror, Mystery, Thriller","Kathryn Davis, Hamza Haq, Mark Ghanimé, Jeni Ross",Unrated,06 Oct 2018,A lighthearted bonding opportunity takes a dark and decidedly dangerous turn when a father and daughter try out an escape room in a small town.,5.2,2840,
Legacy of Lies,"Action, Thriller","Honor Kneafsey, Anna Butkevich, Yuliia Sobol, Scott Adkins",R,28 Jul 2020,A retired MI6 agent returns to espionage when he teams up with a Ukrainian journalist to expose a series of foreign covert operations.,5,1912,
2067,Sci-Fi,"Finn Little, Ryan Kwanten, Aaron Glenane, Kodi Smit-McPhee",Not Rated,02 Oct 2020,"To save humanity from extinction, a laborer gets chosen for a risky time travel mission to find an answer to the worlds decimated oxygen supply.",4.8,4450,
Ronny & Klaid,"Comedy, Musical","Willy Fritsch, Hans Wassmann, Käthe von Nagy, Otto Wallburg",,13 Apr 1932,Two bumbling buddies hatch an ill-advised plan to kidnap a millionaire in hopes of reaping a ransom and paying off their gambling debt to a mob boss.,5.6,5,
Burden,Drama,"Garrett Hedlund, Tom Wilkinson, Andrea Riseborough, Forest Whitaker",R,09 Jun 2020,A young man who rises to the top of the South Carolina Ku Klux Klan decides to walk away with the help of an unexpected ally. Based on real events.,6.6,1814,
Collective,Documentary,"Razvan Lutac, Tedy Ursuleanu, Catalin Tolontan, Mirela Neag",Not Rated,20 Nov 2020,"In 2015, a nightclub fire in Bucharest killed 64 people, unleashing an investigation that uncovered massive health care fraud and government corruption.",8.4,3300,
Love,"Drama, Romance","Klara Kristin, Ugo Fox, Karl Glusman, Aomi Muyock",TV-MA,30 Oct 2015,The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.,6.1,48843,
Sisyphus,"Animation, Short",,,01 Oct 1974,An unfathomable incident introduces a genius engineer to dangerous secrets of the world — and to a woman from the future whos come looking for him.,6.9,695,
Eeb Allay Ooo!,"Comedy, Drama","Nutan Sinha, Shardul Bharadwaj, Shashi Bhushan, Mahender Nath",,18 Dec 2020,"Hired as a monkey repeller upon moving to Delhi, a young man struggles to find his footing in his unenviable job and his place in the unforgiving world.",7.4,784,
Behind Her Eyes,"Short, Drama","Victoria Clare, John Curley, Dylan Neumeyer, Katherine Geren",TV-14,15 May 2018,A single mother enters a world of twisted mind games when she begins an affair with her psychiatrist boss while secretly befriending his mysterious wife.,6.2,8,
The Manson Family Massacre,"Crime, Horror, Thriller","Vicki Glover, Ciaron Davies, Brendee Green, Michael David",Not Rated,06 Aug 2019,"After a musician moves into an infamous house, terrifying visions of the brutal murders committed by members of the Manson Family begin to haunt her.",3,273,
Return of the King Huang Feihong,Action,"Chen Lin, Yin Danni, Jingchuan Xu",,13 Nov 2017,"To save a friends life, Wong Fei-hung joins a martial arts competition organized by British business interests — but uncovers a grand conspiracy.",4.2,5,
Ten Years Japan,Drama,"Jun Kunimura, Taiga Nakano, Chizuru Ikewaki, Hana Sugisaki",,03 Nov 2018,"Five visionary directors imagine life in Japan ten years into the future, when current issues like the aging population have found dystopian solutions.",5.6,102,
Love at Second Sight,"Comedy, Drama, Fantasy, Romance","Benjamin Lavernhe, François Civil, Joséphine Japy, Camille Lellouche",,03 Apr 2019,An acclaimed author wakes up in a parallel universe to a different life where his wife is a famous pianist who sees him as a total stranger.,7,3527,
Liberation,"Drama, History, Romance, War","Mikhail Nozhkin, Mikhail Ulyanov, Larisa Golubkina, Nikolay Olyalin",,01 Nov 1971,"In 1949, in the final days of the Battle of Pingjin, a group of soldiers launches a campaign to take the city of Tianjin.",7.8,525,
The King is Invincible,Action,"Qianlong Yang, Yaoyao Ma, Jiangtao Xue, Xingyi Wang",,28 Jul 2019,"After missing his own wedding, Wong Fei-hung sets out for Shanghai to patch up his relationship but becomes entangled between two rival gangs.",5.7,9,
Amanda,Drama,"Stacy Martin, Ophélia Kolb, Vincent Lacoste, Isaure Multrier",G,21 Nov 2018,"When a man becomes the guardian for his seven-year-old niece after a tragedy, the pair tries to cope, heal and forge a new life forward together.",7,2012,
Corpus Christi,Drama,"Bartosz Bielenia, Tomasz Zietek, Eliza Rycembel, Aleksandra Konieczna",,28 Feb 2020,"After finding faith in a juvenile detention center, a young man poses as a priest in a small town recovering from tragedy. Inspired by true events.",7.7,13208,
The Shadow,"Action, Adventure, Crime, Fantasy, Mystery, Thriller","Alec Baldwin, Peter Boyle, Penelope Ann Miller, John Lone",PG-13,01 Jul 1994,"By day, a reformed criminal masquerades as a decadent playboy; by night he becomes single-minded crime-fighting hero the Shadow.",6.1,23422,
Artysci,Drama,"Michal Majnicz, Marcin Czarnik, Klara Bielawka, Adam Cywka",,02 Sep 2016,"A young, ambitious man goes to Warsaw to become the new managing director of a theater — a role that was recently vacated in dramatic fashion.",7.9,113,
Overcoming,"Documentary, Sport","B.S. Christiansen, Ole Kaare Føli, Michelle Bartoli, Ivan Basso",,28 Apr 2006,Tomas Gislasons documentary focuses on Bjarne Riiss work with the Danish bicycle team Team CSC during preparations for the Tour de France.,6.9,353,
Se min kjole,Drama,"Julie Grundtvig Wester, Honey Shain, Stephanie Leon, Malou Reymann",,03 Jul 2009,"A road movie about four girls pursuing a new future, all trying to put abuse behind them, through confrontation and forgiveness.",6.2,493,
Aftermath,"Drama, Thriller","Arnold Schwarzenegger, Judah Nelson, Maggie Grace, Scoot McNairy",R,07 Apr 2017,"Claes and Britt experience the worst loss parents could experience -- their child dying -- and six months later, they are both attempting to move on.",5.7,22226,
Awara Paagal Deewana,"Action, Comedy, Crime, Drama, Thriller","Akshay Kumar, Paresh Rawal, Aftab Shivdasani, Sunil Shetty",Not Rated,21 Jun 2002,A dentist unwittingly becomes caught in the madcap fight between two criminal brothers-in-law trying to kill one another off to claim their inheritance.,6.2,7549,
Unhinged,"Action, Thriller","Caren Pistorius, Jimmi Simpson, Russell Crowe, Gabriel Bateman",R,21 Aug 2020,"After a traffic dispute, a single mom must defend herself against a sadistic driver whos hellbent on turning her commute into a ride laced with terror.",6.1,34208,
John Lewis: Good Trouble,Documentary,"Ayanna Pressley, Anthony Johnson, Hillary Clinton, Elijah Cummings",PG,03 Jul 2020,The life of John Lewis is celebrated in this documentary that follows his journey from civil rights activist to United States Representative.,7.1,539,
Repo Man,"Action, Comedy, Crime, Sci-Fi, Thriller","Olivia Barash, Tracey Walter, Harry Dean Stanton, Emilio Estevez",R,02 Mar 1984,"Once lacking purpose, delinquent Otto finds a code of honor and a higher calling when he hooks up with a band of contemporary ""knights"": the repo men.",6.9,33965,
For Love of the Game,"Drama, Romance, Sport","Kelly Preston, Kevin Costner, John C. Reilly, Jena Malone",PG-13,17 Sep 1999,An aging pitcher whose future on the mound is uncertain suddenly finds himself within reach of baseballs ultimate accomplishment: a perfect game.,6.6,31879,
The Crew,"Comedy, Crime","Burt Reynolds, Seymour Cassel, Dan Hedaya, Richard Dreyfuss",PG-13,25 Aug 2000,Life in the garage swerves off track for a NASCAR crew chief and his tight-knit racing team when a new boss steps in and shakes things up.,5.7,4473,
Sweethearts,"Comedy, Drama","Janeane Garofalo, Mitch Rouse, Bobcat Goldthwait, Margaret Cho",R,10 Oct 1997,Professional robber Mel gets more than expected when she takes panicky Franny hostage. Is it her biggest mistake or the best decision of her life?,6.3,617,
The Queen of Sin,"Drama, Mystery, Thriller","Inga Cadranel, Richard de Klerk, Christa B. Allen, Amber Goldfarb",,05 May 2018,"Before she marries, a medical illustrator indulges in one last fling that draws out her inner desires — and ensnares her in a life-threatening scheme.",4.2,386,
Uppercut,"Action, Comedy, Sport","Raimund Harmstorf, Nando Paone, Bud Spencer, Ottaviano Dell'Acqua",,05 Oct 1978,An ex-football star-turned-fisherman waylaid in an Italian port gets pulled back into the game after locals and US GIs challenge each other to a game.,6.8,4999,
The Replacement Killers,"Action, Crime, Thriller","Mira Sorvino, Michael Rooker, Kenneth Tsang, Yun-Fat Chow",R,06 Feb 1998,"When hit man John Lee refuses to kill a police officers young son, replacement killers are sent in to finish the job -- and to take care of Lee.",6.2,26994,
Then Came You,"Adventure, Comedy, Drama","Nina Dobrev, Maisie Williams, Asa Butterfield, Ken Jeong",,01 Feb 2019,"To honor her husband, a widow plans to travel to their favorite movie locales but meets an innkeeper in Scotland who might give her heart a new home.",7,9592,
Story of Women,"Drama, Romance","Marie Trintignant, François Cluzet, Nils Tavernier, Isabelle Huppert",,01 Feb 1990,"This drama is based on the true story of Marie-Louise Girard, a French woman put to death for performing unlawful abortions -- an occupation she stumbles into when a friend asks for her assistance in ending a pregnancy.",7.5,3928,
The Flower of Evil,Drama,"Nathalie Baye, Suzanne Flon, Benoît Magimel, Bernard Le Coq",R,19 Feb 2003,"When François returns to his familys estate in Bordeaux, scandal and long-held secrets start to unravel as his stepmother runs for local mayor.",6.5,2966,
The Swindle,"Comedy, Crime, Thriller","Michel Serrault, François Cluzet, Jean-François Balmer, Isabelle Huppert",Not Rated,24 Oct 1997,Betty and her lover Victor make an excellent team when it comes to ripping people off in this French-language caper: She seduces and drugs their victims so they can make off with their money in the dark.,6.5,2177,
Madame Bovary,"Drama, Romance","Logan Marshall-Green, Ezra Miller, Mia Wasikowska, Rhys Ifans",R,12 Jun 2015,"A woman marries a timid doctor and immediately cheats on him, leading to their financial and emotional ruin. Based on Flauberts novel.",5.7,7708,
LEnfer,"Comedy, Drama","Aris Servetalis, Lefteris Matthaiou, Makis Papadimitriou, Nota Tserniafski",Not Rated,23 Feb 2012,"In this taut drama, hoteliers Paul Prieur and his wife, Nelly, seem to have it all: a fairy-tale marriage, a successful business and idyllic surroundings. But Paul suspects his alluring spouse of having a tryst.",5.5,677,
Betty,Comedy,"Kabrina Adams, Ajani Russell, Nina Moran, Dede Lovelace",TV-14,01 May 2020,"In this engrossing character study, French new wave director Claude Chabrol presents a complex narrative based on a novel by Georges Simenon in which two women form a dependent bond on a rainy evening.",6.7,1411,
New Amsterdam,Drama,"Jocko Sims, Ryan Eggold, Janet Montgomery, Freema Agyeman",TV-14,25 Sep 2018,"Americas oldest hospital welcomes a new maverick director in Dr. Max Goodwin, who steps in to change the status quo and save patients lives.",8.1,17422,
Wheel of Fortune,"Family, Game-Show","Charlie O'Donnell, Pat Sajak, Vanna White",TV-G,19 Sep 1983,"Pat Sajak and Vanna White host one of TVs most popular, long-running game shows, where players spin a wheel for prizes and solve mystery phrases.",6.7,2667,
The Big Day,"Comedy, Romance","Louise Mieritz, Christian Tafdrup, Frank Thiel, Henrik Prip",,18 Mar 2005,"For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at India’s multibillion-dollar wedding industry.",5.4,377,
The Photograph,"Drama, Romance","Chanté Adams, Issa Rae, LaKeith Stanfield, Y'lan Noel",PG-13,14 Feb 2020,Love unfolds in both the past and present as a curious journalist helps a young woman uncover family secrets after the death of her estranged mother.,6,3853,
Three Nobunagas,"Comedy, Drama, History","Yoshinori Okada, Kazuyuki Aijima, Takahiro, Hayato Ichihara",,20 Sep 2019,"The remnants of the Imagawa clan capture three men claiming to be Oda Nobunaga, but which one is the real warlord? They can’t kill all three!",4.5,22,
Monsoon,"Drama, Romance","David Tran, Lam Anh Dao, Henry Golding, William Do",Not Rated,13 Nov 2020,A reflective man must come to terms with his forced displacement from Vietnam when he returns to his birthplace to spread his parents ashes.,5.9,1083,
White House Farm,"Biography, Crime, Drama, Mystery, Thriller","Freddie Fox, Mark Addy, Scott Reid, Alexa Davies",TV-MA,24 Sep 2020,"Based on true events, a detective delves deeper into a seemingly straightforward case after a misunderstood woman is accused of murdering her family.",7.4,5167,
Follow Me,Documentary,,,18 Nov 2018,"While searching for daring new content, a polarizing social media star and his friends unwittingly find terror in a torturous Moscow escape room.",5.1,229,
Mundina Nildana,"Comedy, Drama, Romance","Ajay Raj, Ananya Kashyap, Praveen Tej, Radhika Narayan",,22 Nov 2019,"As three young professionals chase their wildly different dreams, their relationships with each other indelibly impact their journeys of self-discovery.",6.4,284,
Capitani,"Crime, Drama, Mystery, Thriller","Luc Schiltz, Joe Dennenwald, Sophie Mousel, Claude De Demo",TV-MA,11 Feb 2021,"In a Luxembourg village where everyone is keeping secrets, gruff police inspector Luc Capitani investigates the suspicious death of a 15-year-old girl.",7.1,366,
Romang,"Drama, Romance","Bae Hae-Sun, Yeong-suk Jeong, Jo Han-Chul, Seon-kyu Jin",,03 Apr 2019,"Married for 45 years, an elderly couple navigates a bittersweet new chapter in their love story after theyre both diagnosed with dementia.",7.2,117,
